,name,pp_percentage
498,deb-python-txaio,0.0
499,deb-python-warlock,0.0
500,deb-python-watcherclient,0.0
501,deb-python-weakrefmethod,0.0
502,deb-python-websocket-client,0.0
503,deb-python-wrapt,0.0
504,deb-python-wsgi-intercept,0.0
505,deb-python-wsme,0.0
506,deb-python-xstatic,0.0
507,deb-python-xstatic-angular,0.0
508,deb-python-xstatic-angular-bootstrap,0.0
509,deb-python-xstatic-angular-cookies,0.0
510,deb-python-xstatic-angular-fileupload,0.0
511,deb-python-xstatic-angular-gettext,0.0
512,deb-python-xstatic-angular-lrdragndrop,0.0
513,deb-python-xstatic-angular-mock,0.0
514,deb-python-xstatic-angular-schema-form,0.0
515,deb-python-xstatic-bootstrap-datepicker,0.0
516,deb-python-xstatic-bootstrap-scss,0.0
517,deb-python-xstatic-bootswatch,0.0
518,deb-python-xstatic-d3,0.0
519,deb-python-xstatic-font-awesome,0.0
520,deb-python-xstatic-hogan,0.0
521,deb-python-xstatic-jasmine,0.0
522,deb-python-xstatic-jquery,0.0
523,deb-python-xstatic-jquery-migrate,0.0
524,deb-python-xstatic-jquery-ui,0.0
525,deb-python-xstatic-jquery.bootstrap.wizard,0.0
526,deb-python-xstatic-jquery.quicksearch,0.0
527,deb-python-xstatic-jquery.tablesorter,0.0
528,deb-python-xstatic-jsencrypt,0.0
529,deb-python-xstatic-magic-search,0.0
530,deb-python-xstatic-mdi,0.0
531,deb-python-xstatic-objectpath,0.0
532,deb-python-xstatic-qunit,0.0
533,deb-python-xstatic-rickshaw,0.0
534,deb-python-xstatic-roboto-fontface,0.0
535,deb-python-xstatic-smart-table,0.0
536,deb-python-xstatic-spin,0.0
537,deb-python-xstatic-term.js,0.0
538,deb-python-xstatic-tv4,0.0
539,deb-python-xvfbwrapper,0.0
540,deb-python-yaql,0.0
541,deb-python-zaqarclient,0.0
542,deb-rally,0.0
543,deb-ryu,0.0
544,deb-sahara,0.0
545,deb-sahara-dashboard,0.0
546,deb-senlin,0.0
547,deb-senlin-dashboard,0.0
548,deb-spice-html5,0.0
549,deb-stevedore,0.0
550,deb-subunit,0.0
551,deb-swauth,0.0
552,deb-swift,0.0
553,deb-swift-bench,0.0
554,deb-swift-plugin-s3,0.0
555,deb-tempest,0.0
556,deb-testresources,0.0
557,deb-trove,0.0
558,deb-trove-dashboard,0.0
559,deb-watcher,0.0
560,deb-websockify,0.0
561,deb-zaqar,0.0
562,deb-zaqar-ui,0.0
563,debtcollector,0.0
564,designate,0.0
565,designate-dashboard,0.0
566,designate-specs,0.0
567,designate-tempest-plugin,0.0
568,devstack-plugin-amqp1,0.0
569,devstack-plugin-ceph,0.0
570,devstack-plugin-container,0.0
571,devstack-plugin-kafka,0.0
572,devstack-plugin-nfs,0.0
573,devstack-plugin-pika,0.0
574,devstack-plugin-zmq,0.0
575,devstack-tools,0.0
576,dib-utils,0.0
577,diskimage-builder,0.0
578,django-openstack-auth-kerberos,0.0
579,django_openstack_auth,0.0
580,docs-specs,0.0
581,dragonflow,0.0
582,ec2-api,0.0
583,ec2api-tempest-plugin,0.0
584,election,0.0
585,enterprise-wg,0.0
586,eslint-config-openstack,0.0
587,faafo,0.0
588,fairy-slipper,0.0
589,freezer,0.0
590,freezer-api,0.0
591,freezer-dr,0.0
592,freezer-specs,0.0
593,freezer-tempest-plugin,0.0
594,freezer-web-ui,0.0
595,fuel-agent,0.0
596,fuel-astute,0.0
597,fuel-dev-tools,0.0
598,fuel-devops,0.0
599,fuel-docs,0.0
600,fuel-library,0.0
601,fuel-main,0.0
602,fuel-menu,0.0
603,fuel-mirror,0.0
604,fuel-nailgun-agent,0.0
605,fuel-nailgun-extension-cluster-upgrade,0.0
606,fuel-nailgun-extension-converted-serializers,0.0
607,fuel-nailgun-extension-iac,0.0
608,fuel-octane,0.0
609,fuel-ostf,0.0
610,fuel-plugin-murano,0.0
611,fuel-plugin-murano-tests,0.0
612,fuel-plugins,0.0
613,fuel-qa,0.0
614,fuel-specs,0.0
615,fuel-stats,0.0
616,fuel-ui,0.0
617,fuel-upgrade,0.0
618,fuel-virtualbox,0.0
619,fuel-web,0.0
620,futurist,0.0
621,fuxi,0.0
622,fuxi-golang,0.0
623,fuxi-kubernetes,0.0
