,name,c2,files,pp_files,forked,c3,no_commits,month_diff,first_commit,last_commit
143,reclass-system-salt-model,0.0,2338,0,0,73.41,5139,70,2016-12-01,2022-09-14
144,stepler-draft,0.0,212,0,0,215.33,646,3,2016-09-23,2016-12-01
145,whale,0.0,91,0,0,10.75,86,8,2016-11-10,2017-06-30
146,bird-containers,0.0,43,0,0,8.8,44,5,2016-11-22,2017-03-30
147,k8s-netchecker-agent,0.0,24,0,0,5.85,76,13,2016-12-19,2018-01-02
148,k8s-netchecker-server,0.0,48,0,0,14.85,193,13,2016-12-26,2018-01-02
149,ifmap-python-client,0.0,16,0,0,0.45,26,58,2011-12-27,2016-10-12
150,stacklight-salt-model,0.0,69,0,0,48.33,145,3,2017-01-25,2017-04-13
151,spaced-armour-tests,0.0,33,0,0,2.67,8,3,2017-01-27,2017-04-03
152,kostyor-fuelccp,0.0,21,0,0,2.0,6,3,2017-01-30,2017-03-30
153,pipeline-library,0.0,56,0,0,26.11,1932,74,2016-09-28,2022-11-24
154,mk-pipelines,0.0,115,0,0,33.51,2279,68,2016-12-22,2022-08-15
155,mos-updates,0.0,1,0,0,1.0,1,1,2017-02-15,2017-02-15
156,docker-phpldapadmin,0.0,23,0,0,7.03,253,36,2014-04-27,2017-03-27
157,docker-openldap,0.0,96,0,0,11.41,468,41,2013-11-05,2017-03-26
158,docker-jenkins,0.0,47,0,0,9.08,472,52,2014-07-09,2018-11-08
159,docker-gerrit,0.0,15,0,0,6.0,222,37,2015-01-12,2018-01-19
160,telegraf,0.0,750,0,0,83.65,3095,37,2015-04-01,2018-04-07
161,k8s-apps,0.0,1086,0,0,38.0,798,21,2017-03-28,2018-12-17
162,rundeck-cis-jobs,0.0,6,0,0,1.69,27,16,2017-06-05,2018-10-01
163,cvp-sanity-checks,0.0,64,0,0,4.2,248,59,2017-09-27,2022-08-01
164,kqueen,0.0,129,0,0,90.08,1171,13,2017-09-24,2018-10-01
165,environment-template,0.0,197,0,0,5.08,132,26,2017-09-28,2019-11-01
166,cvp-configuration,0.0,112,0,0,2.08,125,60,2017-11-10,2022-11-08
167,sriov-scheduler,0.0,29,0,0,23.5,47,2,2017-09-22,2017-11-08
168,criproxy,0.0,62,0,0,13.62,177,13,2017-11-18,2018-12-07
169,mcp-common-scripts,0.0,15,0,0,5.25,147,28,2017-11-10,2020-02-12
170,Virtualization-Documentation,0.0,0,0,1,155.87,5923,38,2014-10-29,2017-12-06
171,scale-scenarios,0.0,405,0,0,2.06,103,50,2017-12-08,2022-01-19
172,mcp-offline-model,0.0,5,0,0,2.02,125,62,2017-10-16,2022-11-28
173,kqueen-ui,0.0,152,0,0,41.75,501,12,2017-10-23,2018-10-02
174,NAC_esc_210,0.0,4,0,0,19.0,19,1,2018-02-05,2018-02-06
175,mcp-local-repo-model,0.0,2,0,0,1.74,68,39,2018-02-19,2021-05-13
176,contrail-third-party-cache-fixup,0.0,3,0,0,0.5,5,10,2018-03-23,2019-01-22
177,kubernetes-aws-model,0.0,21,0,0,8.67,78,9,2017-05-24,2018-02-06
178,heat-fragments,0.0,15,0,0,2.0,6,3,2017-05-18,2017-08-08
179,mirantis-demos,0.0,7,0,0,14.0,14,1,2018-03-21,2018-04-03
180,docker-aptly,0.0,11,0,0,1.76,44,25,2016-11-30,2018-12-07
181,python-aptly,0.0,14,0,0,4.16,133,32,2015-06-17,2018-02-15
182,python-flask-hello,0.0,13,0,0,0.85,11,13,2016-06-20,2017-06-30
183,docker-salt-formulas,0.0,0,0,1,19.8,99,5,2017-12-28,2018-05-14
184,rally-plugins,0.0,84,0,0,2.17,76,35,2018-05-14,2021-03-30
185,training-lab,0.0,46,0,0,6.22,112,18,2018-06-12,2019-12-02
186,cvp-spt,0.0,18,0,0,1.71,12,7,2018-06-21,2019-01-15
187,training-lab-salt-model,0.0,44,0,0,4.62,37,8,2018-06-27,2019-02-14
188,python-operations-api,0.0,42,0,0,37.0,74,2,2018-10-03,2018-11-07
189,react-operations-ui,0.0,49,0,0,37.0,74,2,2018-10-11,2018-11-12
190,dtrbackup,0.0,3,0,0,0.26,5,19,2018-10-26,2020-05-05
191,ucpbackup,0.0,4,0,0,0.38,5,13,2019-04-26,2020-05-05
192,certdump,0.0,0,0,1,0.21,6,29,2016-06-24,2018-11-08
193,container.training,0.0,0,0,1,29.67,1365,46,2015-03-05,2018-12-06
194,docker-get-ucp-job-logs,0.0,0,0,1,0.62,8,13,2017-12-15,2018-12-19
195,ip-util-check,0.0,3,0,0,0.49,21,43,2018-10-05,2022-04-21
196,k8s-istio-workshop,0.0,46,0,0,39.0,39,1,2019-02-18,2019-03-07
197,gh-mass-commentor,0.0,6,0,0,6.0,6,1,2019-03-20,2019-03-26
198,k8s-istio-webinar,0.0,53,0,0,67.0,67,1,2019-03-19,2019-04-09
